ID	ENV	REP	TKW
G1	2025YLZ	1	36.824
G1	2025YLZ	2	36.1574
G2	2025YLZ	1	39.6854
G2	2025YLZ	2	38.9149
G3	2025YLZ	1	28.1106
G3	2025YLZ	2	27.1164
G4	2025YLZ	1	43.6
G4	2025YLZ	2	41.9377
G5	2025YLZ	1	43.6557
G5	2025YLZ	2	42.913
G6	2025YLZ	1	45.7757
G6	2025YLZ	2	46.1728
G7	2025YLZ	1	41.2864
G7	2025YLZ	2	39.5038
G8	2025YLZ	1	43.5638
G8	2025YLZ	3	41.4155
G9	2025YLZ	1	43.7257
G9	2025YLZ	2	43.5524
G10	2025YLZ	1	37.2579
G10	2025YLZ	2	35.8159
G11	2025YLZ	1	38.1542
G11	2025YLZ	2	39.7613
G12	2025YLZ	1	42.9157
G12	2025YLZ	2	42.0389
G13	2025YLZ	1	34.1783
G13	2025YLZ	2	31.6735
G14	2025YLZ	1	46.4575
G14	2025YLZ	2	45.7488
G15	2025YLZ	1	44.9086
G15	2025YLZ	2	43.7485
G16	2025YLZ	1	43.907
G16	2025YLZ	2	42.8725
G17	2025YLZ	1	45.1552
G17	2025YLZ	2	43.2017
G18	2025YLZ	1	42.2195
G18	2025YLZ	2	41.8683
G19	2025YLZ	1	39.8196
G19	2025YLZ	2	39.3429
G20	2025YLZ	1	41.4135
G20	2025YLZ	2	40.3004
G21	2025YLZ	1	37.9321
G21	2025YLZ	2	37.0676
G22	2025YLZ	1	37.0357
G22	2025YLZ	2	37.1023
G23	2025YLZ	1	34.4872
G23	2025YLZ	2	33.0438
G24	2025YLZ	1	37.5514
G24	2025YLZ	2	37.8904
G25	2025YLZ	1	40.1782
G25	2025YLZ	2	39.378
G26	2025YLZ	1	41.4194
G26	2025YLZ	2	39.8268
G27	2025YLZ	1	40.3814
G27	2025YLZ	2	39.1526
G28	2025YLZ	1	42.1529
G28	2025YLZ	2	40.8495
G29	2025YLZ	1	43.037
G29	2025YLZ	2	39.6201
G30	2025YLZ	1	46.1192
G30	2025YLZ	2	42.669
G31	2025YLZ	1	44.1919
G31	2025YLZ	2	40.3015
G32	2025YLZ	1	42.3333
G32	2025YLZ	2	41.3385
G33	2025YLZ	1	42.7215
G33	2025YLZ	2	42.6878
G34	2025YLZ	1	45.3158
G34	2025YLZ	2	45
G35	2025YLZ	1	42.8776
G35	2025YLZ	2	41.2667
G36	2025YLZ	1	41.7534
G36	2025YLZ	2	41.1712
G37	2025YLZ	1	45.1636
G37	2025YLZ	2	44.5229
G38	2025YLZ	1	38.0068
G38	2025YLZ	2	36.5273
G39	2025YLZ	1	44.645
G39	2025YLZ	2	45.3107
G40	2025YLZ	1	46.6288
